SORT ORDER,ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK (max 30),MASK LEN ,DESCRIPTION (max 40),DESCRIPTION LEN,PRIORITY SORT,PRIORITY CODE,OBJECT SORT,OBJECT TYPE,WORK CENTRE,COMPANY CODE,PLANT,PLANNING PLANT,PLANNING GROUP,COST CENTRE,MANUFACTURER,MODEL TYPE,SERIAL NO,MAN. PART NO,SUPERIOR EQUIP,POSITION (POSNR),PID,LONG DESCRIPTION
,0.5,5001,PM03,CS,DEF,,,,5001-PM03-CS-DEF,,DEFOAMER,,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40-001,,,5001-PM03-CS-DEF-35-40-001,26,LN 35-40-001 DEFOAMER TO PMP SUCT,33,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40LT-001,,,,35-40LT-001 DEFOAMER LVL TX,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40LI-001,,,,35-40LI-001 DEFOAMER LVL IND,28,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,HV 35-40-002,,,,HV 35-40-002 DEFOAMER TO PMP SUCT DRN NC,40,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-005,,,,LN 35-40-005 35-40P501 SUCT,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-006,,,HV 35-40-006 35-40P501 SUCT NO,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-005,,,HV 35-40-005 35-40P501 SUCT DRN NC,34,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-006,,,,LN 35-40-006 35-40P502 SUCT,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-008,,,HV 35-40-008 35-40P502 SUCT NC,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-007,,,HV 35-40-007 35-40P502 SUCT DRN NC,34,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-009,,,,LN 35-40-009 35-40P503 SUCT,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-014,,,HV 35-40-014 35-40P503 SUCT NO,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-013,,,HV 35-40-013 35-40P503 SUCT DRN NC,34,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40P501,,,5001-PM03-CS-DEF-35-40P501,,35-40P501 DEFOAMER PMP ,23,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40P501,,,,35-40P501 PMP UNIT,18,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-501.1,,,,35-40-501.1 DEFOAMER PMP MTR,28,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-003,,,,LN 35-40-003 35-40P501 DIS,26,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-001,,,HV 35-40-001  35-40P501 DIS DRN NC,34,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PT-002,,,35-40PT-002  35-40P501 DIS PR TX,32,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PI-002,,,35-40PI-002  35-40P501 DIS PR IND,33,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-004,,,HV 35-40-004  35-40P501 DIS NO,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-003,,,HV 35-40-003  35-40P501 DIS NC,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40P502,,,5001-PM03-CS-DEF-35-40P502,26,35-40P502 DEFOAMER PMP ,23,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40P502,,,,35-40P502 PMP UNIT,18,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-502.1,,,,35-40-502.1 DEFOAMER  PMP MTR,29,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-002,,,,LN 35-40-002  35-40P502 DIS,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-009,,,HV 35-40-009  35-40P502 DIS DRN NC,34,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PT-003,,,35-40PT-003  35-40P502 DIS PR TX,32,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PI-003,,,35-40PI-003  35-40P502 DIS PR IND,33,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40P503,,,5001-PM03-CS-DEF-35-40P503,26,35-40P503 DEFOAMER PMP ,23,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40P503,,,,35-40P503 PMP UNIT,18,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-503.1,,,,35-40P503.1 DEFOAMER  PMP MTR,29,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40-008,,,,LN 35-40-008 35-40P503 DIS,26,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-016,,,HV 35-40-016 35-40P503 DIS DRN NC,33,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PT-004,,,35-40PT-004 35-40P503 DIS PR TX,31,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40PI-004,,,35-40PI-004 35-40P503 DIS PR IND,32,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-011,,,HV 35-40-011 35-40P503 DIS NO,29,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,HV 35-40-010,,,HV 35-40-010 35-40P503 DIS NC,29,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40-004,,,5001-PM03-CS-DEF-35-40-004,26,LN 35-40-004 DEFOAMER TO SYSTEM TOP,35,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,HV 35-40-012,,,,HV 35-40-012 DEFOAMER TO TOP DRN NC,35,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,PRV 35-40-015,,,,PRV 35-40-015  DEFOAMER TO TOP,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40HV-005,,,,35-40HV-005  DEFOAMER TO TOP,28,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40HS-005,,,35-40HS-005  DEFOAMER TO TOP HAND SWITCH,40,,,,,,,,,,,,,,,,,PCSG028669.02,
,1,5001,PM03,CS,DEF,35-40-007,,,5001-PM03-CS-DEF-35-40-007,26,LN 35-40-007 DEFOAMER TO SYSTEM BTM,35,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,HV 35-40-017,,,,HV 35-40-017  DEFOAMER TO BTM DRN NC,36,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,PRV 35-40-018,,,,PRV 35-40-018 DEFOAMER TO BTM ,30,,,,,,,,,,,,,,,,,PCSG028669.02,
,2,,,,,,35-40HV-006,,,,35-40HV-006 DEFOAMER TO BTM,27,,,,,,,,,,,,,,,,,PCSG028669.02,
,3,,,,,,,35-40HS-006,,,35-40HS-006 DEFOAMER TO BTM HAND SWITCH,39,,,,,,,,,,,,,,,,,PCSG028669.02,